Name,Start,End,Duration,Process
Create Account - Google Chrome,9/12/2019 8:51,9/12/2019 8:52,0:00:37,Google Chrome
Sign in - EBSCO - Google Chrome,9/12/2019 8:52,9/12/2019 8:52,0:00:06,Google Chrome
Result List: Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome,9/12/2019 8:52,9/12/2019 8:52,0:00:13,Google Chrome
"1ordan, Chris. Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome",9/12/2019 8:52,9/12/2019 8:52,0:00:30,Google Chrome
"1ordan, Chris. Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome",9/12/2019 8:52,9/12/2019 8:52,0:00:06,Google Chrome
"1ordan, Chris. Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome",9/12/2019 8:52,9/12/2019 8:53,0:00:17,Google Chrome
Messenger - Google Chrome,9/12/2019 8:53,9/12/2019 8:53,0:00:05,Google Chrome
"1ordan, Chris. Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome",9/12/2019 8:53,9/12/2019 8:53,0:00:18,Google Chrome
"1ordan, Chris. Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome",9/12/2019 8:53,9/12/2019 8:53,0:00:12,Google Chrome
"1ordan, Chris. Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome",9/12/2019 8:53,9/12/2019 8:53,0:00:05,Google Chrome
Basic Search: OneSearch - Google Chrome,9/12/2019 8:53,9/12/2019 8:54,0:00:07,Google Chrome
Result List: Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome,9/12/2019 8:54,9/12/2019 8:54,0:00:10,Google Chrome
Running the numbers: an American Self-Portrait: OneSearch - Google Chrome,9/12/2019 8:54,9/12/2019 8:54,0:00:26,Google Chrome
Adaptive budgeting: thirty-four suggestions for ra... - Google Chrome,9/12/2019 8:54,9/12/2019 8:54,0:00:18,Google Chrome
Basic Search: OneSearch - Google Chrome,9/12/2019 8:54,9/12/2019 8:55,0:00:10,Google Chrome
Result List: Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome,9/12/2019 8:55,9/12/2019 8:55,0:00:17,Google Chrome
Chris 1ordan - Books - Google Chrome,9/12/2019 8:55,9/12/2019 8:55,0:00:05,Google Chrome
Result List: Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome,9/12/2019 8:55,9/12/2019 8:55,0:00:12,Google Chrome
Result List: Running the Numbers: An American Self-Portrait: OneSearch - Google Chrome,9/12/2019 8:55,9/12/2019 8:56,0:00:31,Google Chrome
Chris 1ordan - Books - Google Chrome,9/12/2019 8:56,9/12/2019 8:56,0:00:27,Google Chrome
Telling stories with numbers: five artists using big data | British Council - Google Chrome,9/12/2019 8:56,9/12/2019 8:57,0:00:55,Google Chrome
For the Right to Remove Personal Information on Search Engines in the U.S. Campaign - #Right2Remove - Google Chrome,9/12/2019 8:57,9/12/2019 8:57,0:00:05,Google Chrome
Telling stories with numbers: five artists using big data | British Council - Google Chrome,9/12/2019 8:57,9/12/2019 8:57,0:00:15,Google Chrome
Data Artists - OneNote,9/12/2019 8:57,9/12/2019 8:58,0:00:07,Microsoft OneNote
Telling stories with numbers: five artists using big data | British Council - Google Chrome,9/12/2019 8:58,9/12/2019 8:58,0:00:07,Google Chrome
Windows Explorer,9/12/2019 8:58,9/12/2019 8:58,0:00:05,Windows Explorer
Telling stories with numbers: five artists using big data | British Council - Google Chrome,9/12/2019 8:58,9/12/2019 8:58,0:00:06,Google Chrome
Telling stories with numbers: five artists using big data | British Council - Google Chrome,9/12/2019 8:58,9/12/2019 8:58,0:00:06,Google Chrome
media arts technology phd - Google Search - Google Chrome,9/12/2019 8:58,9/12/2019 8:58,0:00:28,Google Chrome
"Media Arts and Technology, UC Santa Barbara - Google Chrome",9/12/2019 8:58,9/12/2019 8:59,0:00:59,Google Chrome
"Media Arts and Technology, UC Santa Barbara - Google Chrome",9/12/2019 8:59,9/12/2019 9:00,0:00:44,Google Chrome
Messenger - Google Chrome,9/12/2019 9:00,9/12/2019 9:00,0:00:14,Google Chrome
"Media Arts and Technology, UC Santa Barbara - Google Chrome",9/12/2019 9:00,9/12/2019 9:01,0:00:18,Google Chrome
"Media Arts and Technology, UC Santa Barbara - Google Chrome",9/12/2019 9:01,9/12/2019 9:01,0:00:12,Google Chrome
"Media Arts and Technology, UC Santa Barbara - Google Chrome",9/12/2019 9:01,9/12/2019 9:01,0:00:06,Google Chrome
media arts technology phd - Google Search - Google Chrome,9/12/2019 9:01,9/12/2019 9:01,0:00:06,Google Chrome
"Ph.D. in Computational Media, Arts & Cultures | Art, Art History & Visual Studies - Google Chrome",9/12/2019 9:01,9/12/2019 9:02,0:00:53,Google Chrome
"Computational Media, Arts & Cultures » PhD Program - Google Chrome",9/12/2019 9:02,9/12/2019 9:02,0:00:29,Google Chrome
"Computational Media, Arts & Cultures » PhD Requirements - Google Chrome",9/12/2019 9:02,9/12/2019 9:03,0:00:12,Google Chrome
"Computational Media, Arts & Cultures » MA Program Sequence - Google Chrome",9/12/2019 9:03,9/12/2019 9:04,0:01:22,Google Chrome
"Computational Media, Arts & Cultures » Admissions - Google Chrome",9/12/2019 9:04,9/12/2019 9:04,0:00:20,Google Chrome
Chris 1ordan - Books - Google Chrome,9/12/2019 9:04,9/12/2019 9:05,0:00:13,Google Chrome
Battery Meter,9/12/2019 9:05,9/12/2019 9:05,0:00:11,Windows Explorer
New Tab - Google Chrome,9/12/2019 9:05,9/12/2019 9:05,0:00:06,Google Chrome
websites to download datasets - Google Search - Google Chrome,9/12/2019 9:05,9/12/2019 9:05,0:00:07,Google Chrome
11 great websites to find data sets | Data Interview Questions - Google Chrome,9/12/2019 9:05,9/12/2019 9:06,0:01:09,Google Chrome
Error 404 - Data.gov - Google Chrome,9/12/2019 9:06,9/12/2019 9:06,0:00:08,Google Chrome
Health - Data.gov - Google Chrome,9/12/2019 9:06,9/12/2019 9:06,0:00:11,Google Chrome
Datasets - Data.gov - Google Chrome,9/12/2019 9:06,9/12/2019 9:07,0:00:12,Google Chrome
Datasets - Data.gov - Google Chrome,9/12/2019 9:07,9/12/2019 9:07,0:00:05,Google Chrome
Datasets - Data.gov - Google Chrome,9/12/2019 9:07,9/12/2019 9:07,0:00:32,Google Chrome
Mapping Medicare Disparities Tool - Data.gov - Google Chrome,9/12/2019 9:07,9/12/2019 9:08,0:00:21,Google Chrome
Data.CMS.gov | Data.CMS.gov - Google Chrome,9/12/2019 9:08,9/12/2019 9:08,0:00:21,Google Chrome
Educational Process Mining (EPM): A Learning Analytics Data Set Data Set - Academic Torrents - Google Chrome,9/12/2019 9:08,9/12/2019 9:08,0:00:26,Google Chrome
Educational Process Mining (EPM): A Learning Analytics Data Set Data Set - Academic Torrents - Google Chrome,9/12/2019 9:11,9/12/2019 9:13,0:01:23,Google Chrome
Messenger - Google Chrome,9/12/2019 9:13,9/12/2019 9:13,0:00:16,Google Chrome
11 great websites to find data sets | Data Interview Questions - Google Chrome,9/12/2019 9:13,9/12/2019 9:13,0:00:17,Google Chrome
BigQuery public datasets  |  BigQuery  |  Google Cloud - Google Chrome,9/12/2019 9:13,9/12/2019 9:14,0:00:47,Google Chrome
Our Data | FiveThirtyEight - Google Chrome,9/12/2019 9:14,9/12/2019 9:15,0:00:49,Google Chrome
Science & Health – FiveThirtyEight - Google Chrome,9/12/2019 9:15,9/12/2019 9:15,0:00:23,Google Chrome
Messenger - Google Chrome,9/12/2019 9:15,9/12/2019 9:17,0:01:54,Google Chrome
Science & Health – FiveThirtyEight - Google Chrome,9/12/2019 9:17,9/12/2019 9:17,0:00:09,Google Chrome
Search Results for “weather” – FiveThirtyEight - Google Chrome,9/12/2019 9:17,9/12/2019 9:17,0:00:12,Google Chrome
Search Results for “weather” – FiveThirtyEight - Google Chrome,9/12/2019 9:17,9/12/2019 9:18,0:00:05,Google Chrome
get weather data - Google Search - Google Chrome,9/12/2019 9:18,9/12/2019 9:18,0:00:08,Google Chrome
Top 5 Best Free Weather APIs (for Developers in 2019) [21+ Reviewed] - Google Chrome,9/12/2019 9:18,9/12/2019 9:18,0:00:20,Google Chrome
Messenger - Google Chrome,9/12/2019 9:18,9/12/2019 9:18,0:00:19,Google Chrome
Top 5 Best Free Weather APIs (for Developers in 2019) [21+ Reviewed] - Google Chrome,9/12/2019 9:18,9/12/2019 9:18,0:00:06,Google Chrome
Messenger - Google Chrome,9/12/2019 9:18,9/12/2019 9:19,0:00:25,Google Chrome
Top 5 Best Free Weather APIs (for Developers in 2019) [21+ Reviewed] - Google Chrome,9/12/2019 9:19,9/12/2019 9:19,0:00:08,Google Chrome
Dark Sky Weather API (for Developers) | Get Started Now for Free - Google Chrome,9/12/2019 9:19,9/12/2019 9:19,0:00:31,Google Chrome
