"Name","Start","End","Duration"
"Active","10/26/2019 11:27:35 PM","10/26/2019 11:27:43 PM","0:00:08"
"Active","10/27/2019 11:27:22 AM","10/27/2019 11:41:39 AM","0:14:17"
"Away","10/27/2019 11:41:39 AM","10/27/2019 11:55:41 AM","0:14:02"
"Active","10/27/2019 11:55:41 AM","10/27/2019 11:59:33 AM","0:03:52"
"Away","10/27/2019 11:59:33 AM","10/27/2019 12:15:29 PM","0:15:56"
"Active","10/27/2019 12:15:29 PM","10/27/2019 12:25:17 PM","0:09:48"
"Away","10/27/2019 12:25:17 PM","10/27/2019 12:35:43 PM","0:10:26"
"Active","10/27/2019 12:35:43 PM","10/27/2019 1:03:14 PM","0:27:31"
"Away","10/27/2019 1:03:14 PM","10/27/2019 1:25:03 PM","0:21:49"
"Active","10/27/2019 1:25:03 PM","10/27/2019 1:38:12 PM","0:13:09"
"Away","10/27/2019 1:38:12 PM","10/27/2019 2:10:58 PM","0:32:46"
"Active","10/27/2019 2:10:58 PM","10/27/2019 3:01:02 PM","0:50:04"
"Away","10/27/2019 3:01:02 PM","10/27/2019 3:17:10 PM","0:16:08"
"Active","10/27/2019 3:17:10 PM","10/27/2019 3:28:19 PM","0:11:09"
"Away","10/27/2019 3:28:19 PM","10/27/2019 3:38:36 PM","0:10:17"
"Active","10/27/2019 3:38:36 PM","10/27/2019 3:47:02 PM","0:08:26"
"Away","10/27/2019 3:47:02 PM","10/27/2019 4:07:50 PM","0:20:48"
"Active","10/27/2019 4:07:50 PM","10/27/2019 5:10:31 PM","1:02:41"
"Away","10/27/2019 5:10:31 PM","10/27/2019 5:25:33 PM","0:15:02"
"Active","10/27/2019 5:25:33 PM","10/27/2019 6:33:04 PM","1:07:31"
"Away","10/27/2019 6:33:04 PM","10/27/2019 6:45:33 PM","0:12:29"
"Active","10/27/2019 6:45:33 PM","10/27/2019 8:08:59 PM","1:23:26"
"Away","10/27/2019 8:08:59 PM","10/27/2019 8:13:36 PM","0:04:37"
"Power off","10/27/2019 8:13:36 PM","10/27/2019 8:27:36 PM","0:14:00"
"Active","10/27/2019 8:27:36 PM","10/27/2019 8:27:53 PM","0:00:17"
"Away","10/27/2019 8:27:53 PM","10/27/2019 8:50:34 PM","0:22:41"
"Active","10/27/2019 8:50:34 PM","10/27/2019 8:50:45 PM","0:00:11"
"Away","10/27/2019 8:50:45 PM","10/27/2019 9:01:58 PM","0:11:13"
"Active","10/27/2019 9:01:58 PM","10/27/2019 9:33:45 PM","0:31:47"
"Active","10/28/2019 8:05:37 AM","10/28/2019 8:09:26 AM","0:03:49"
"Power off","10/28/2019 8:09:26 AM","10/28/2019 8:17:21 AM","0:07:55"
"Session lock","10/28/2019 8:17:21 AM","10/28/2019 8:17:27 AM","0:00:06"
"Active","10/28/2019 8:17:27 AM","10/28/2019 10:18:44 AM","2:01:17"
"Power off","10/28/2019 10:18:44 AM","10/28/2019 10:27:19 AM","0:08:35"
"Session lock","10/28/2019 10:27:19 AM","10/28/2019 10:27:33 AM","0:00:14"
"Active","10/28/2019 10:27:33 AM","10/28/2019 10:33:49 AM","0:06:16"
"Power off","10/28/2019 10:33:49 AM","10/28/2019 10:35:51 AM","0:02:02"
"Session lock","10/28/2019 10:35:51 AM","10/28/2019 10:35:56 AM","0:00:05"
"Active","10/28/2019 10:35:56 AM","10/28/2019 11:06:45 AM","0:30:49"
"Away","10/28/2019 11:06:45 AM","10/28/2019 11:08:38 AM","0:01:53"
