Rank	City	Population
251	Hobe Sound	14,301
252	Mount Dora	14,216
253	Destin	14,077
254	Lockhart	14,027
255	Conway	14,023
256	Atlantic Beach	13,831
257	Thonotosassa	13,743
258	Palmetto	13,717
259	East Milton	13,583
260	Warrington	13,569
261	Fruitville	13,541
262	Gladeview	13,539
263	Jensen Beach	13,438
264	Middleburg	13,316
265	Elfers	13,291
266	Homosassa Springs	13,217
267	Key Biscayne	13,149
268	North Palm Beach	13,129
269	Panama City Beach	13,065
270	South Daytona	13,054
271	Wilton Manors	12,797
272	Goldenrod	12,634
273	Fernandina Beach	12,558
274	Cypress Lake	12,505
275	Hudson	12,477
276	Gulfport	12,401
277	Lakeland Highlands	12,345
278	Holly Hill	12,316
279	Westwood Lakes	12,273
280	Pine Castle	12,270
281	Yulee	12,244
282	South Miami	12,219
283	Minneola	12,124
284	Lake City	12,116
285	Lakewood Park	12,090
286	Florida City	12,077
287	Lantana	11,867
288	Shady Hills	11,850
289	Mango	11,836
290	Orange City	11,804
291	Jupiter Farms	11,787
292	Goulds	11,768
293	Cocoa Beach	11,737
294	Nocatee	11,634
295	Port St. John	11,489
296	Westview	11,480
297	Doctor Phillips	11,416
298	Lighthouse Point	11,283
299	Villas	11,242
300	Richmond Heights	11,155
301	Fairview Shores	11,096
302	Satellite Beach	11,088
303	Viera East	10,975
304	Sebring	10,937
305	Cheval	10,821
306	Naranja	10,776
307	Port Salerno	10,760
308	Union Park	10,707
309	Avon Park	10,695
310	Gulf Gate Estates	10,650
311	West Perrine	10,634
312	Miami Shores	10,562
313	Trinity	10,529
314	Palatka	10,465
315	Cape Canaveral	10,449
316	Gateway	10,388
317	Highland City	10,386
318	Milton	10,269
319	Fruitland Park	10,122
320	Key Largo	10,071
321	Alachua	9,949
322	Pine Ridge	9,811
323	Bee Ridge	9,772
324	New Port Richey East	9,753
325	Fuller Heights	9,719
326	Gifford	9,683
327	St. Pete Beach	9,649
328	Bardmoor	9,494
329	Springfield	9,452
330	Medulla	9,335
331	Westgate	9,300
332	Laurel	9,283
333	Viera West	9,228
334	Beverly Hills	9,144
335	St. Augustine Shores	9,099
336	Citrus Springs	9,011
337	Cypress Gardens	9,006
338	Rotonda	8,981
339	Pasadena Hills	8,932
340	Memphis	8,926
341	Bithlo	8,904
342	Micco	8,859
343	Orange Park	8,809
344	Palm Beach	8,802
345	Asbury Lake	8,736
346	North Sarasota	8,728
347	Marathon	8,645
348	Lake Park	8,605
349	Indian Harbour Beach	8,565
350	Miramar Beach	8,555
351	Celebration	8,536
352	Silver Springs Shores	8,508
353	Fern Park	8,469
354	Sugarmill Woods	8,465
355	Progress Village	8,425
356	Green Cove Springs	8,313
357	Pebble Creek	8,311
358	Brooksville	8,298
359	North Bay Village	8,273
360	Williamsburg	8,259
361	Hernando	8,254
362	Seffner	8,239
363	Arcadia	8,201
364	West Vero Corridor	8,135
365	North Weeki Wachee	8,104
366	West Miami	8,052
367	Clewiston	7,985
368	Odessa	7,983
369	Southwest Ranches	7,981
370	Broadview Park	7,963
371	Venice Gardens	7,904
372	Citrus Hills	7,735
373	McGregor	7,732
374	Inwood	7,708
375	Ormond-by-the-Sea	7,692
376	Southeast Arcadia	7,653
377	Fort Pierce North	7,597
378	Southgate	7,539
379	Wedgefield	7,516
380	Sanibel	7,402
381	Inverness	7,390
382	Longboat Key	7,323
383	Neptune Beach	7,297
384	Quincy	7,235
385	Dade City	7,232
386	Belle Isle	7,166
387	Wimauma	7,140
388	Fort Myers Beach	7,102
389	Indiantown and Marianna	7,091
390	Lake Lorraine	7,081
391	West Samoset	7,034
392	St. Augustine Beach	7,026
393	Wildwood	7,024
394	Live Oak	6,974
395	Treasure Island	6,947
396	Perry	6,928
397	Beacon Square	6,837
398	Osprey	6,734
399	Pembroke Park	6,730
400	DeFuniak Springs	6,719
401	Gulf Breeze	6,716
402	Macclenny	6,705
403	Lauderdale-by-the-Sea	6,680
404	South Patrick Shores	6,669
405	Indian River Estates	6,585
406	Fort Myers Shores	6,496
407	Kathleen	6,479
408	Islamorada, Village of Islands	6,383
409	Crystal Lake	6,355
410	Pahokee	6,270
411	Naples Park	6,258
412	Ocean City	6,227
413	Fort Meade	6,203
414	Combee Settlement	6,189
415	High Springs	6,137
416	Heathrow	6,135
417	Tequesta	6,133
418	Naples Manor	6,121
419	Newberry	6,115
420	Sky Lake	6,112
421	Orlovista	6,109
422	Lecanto	6,099
423	River Park	6,055
424	South Gate Ridge	6,045
425	Inverness Highlands South	6,010
426	Mims	5,982
427	Lake Alfred	5,977
428	Bay Harbor Islands	5,964
429	Pelican Bay	5,876
430	Mascotte	5,873
431	Siesta Key	5,850
432	Surfside	5,802
433	Willow Oak	5,759
434	Fellsmere	5,754
435	Mount Plymouth	5,739
436	Okeechobee	5,731
437	Palm Springs North	5,624
438	South Apopka	5,525
439	Samsula-Spruce Creek	5,489
440	Starke	5,411
441	Davenport	5,378
442	Big Pine Key	5,339
443	Lely Resort	5,335
444	Warm Mineral Springs	5,305
445	South Highpoint	5,303
446	St. Augustine South	5,271
447	South Sarasota	5,265
448	Cocoa West	5,250
449	Nassau Village-Ratliff	5,245
450	LaBelle	5,226
451	Zephyrhills South and Timber Pines	5,207
452	Valparaiso	5,195
453	Jan Phyl Village	5,189
454	Floral City	5,188
455	South Bay	5,185
456	South Pasadena	5,117
457	Rio Pinar	5,116
458	Wahneta	5,084
459	Flagler Beach and Bay Hill	5,081
460	Kenneth City	5,059
461	Hutchinson Island South	5,055
462	Belleview	5,022
463	River Ridge	5,002
464	Crawfordville	4,999
465	Butler Beach	4,983
466	Whiskey Creek	4,979
467	Orangetree	4,948
468	Pine Manor	4,926
469	Wauchula	4,895
470	Dundee	4,816
471	Plantation CDP	4,790
472	Tice	4,764
473	Zephyrhills West	4,734
474	Lake Sarasota	4,718
475	Goulding	4,624
476	Suncoast Estates	4,587
477	Parker	4,584
478	Port LaBelle	4,583
479	Sawgrass	4,571
480	Brookridge	4,543
481	Daytona Beach Shores	4,541
482	Moon Lake	4,525
483	Fussels Corner	4,413
484	The Meadows	4,383
485	Mary Esther	4,370
486	Buckingham	4,366
487	Lochmoor Waterway Estates	4,363
488	Kensington Park	4,351
489	Vamo	4,345
490	Cortez	4,332
491	Madeira Beach	4,327
492	Fort Pierce South	4,318
493	Holmes Beach	4,295
494	Loughman	4,292
495	Indian Rocks Beach	4,286
496	Grant-Valkaria	4,254
