seem,90
sigh,90
win,90
dance,89
similar,89
wasnt,89
woah,89
crawl,88
havent,88
realize,88
schedule,88
summer,88
world,88
arm,87
foot,87
loved,87
money,87
music,87
warm,87
asking,86
child,86
liked,86
lips,86
massage,86
wearing,86
chance,85
completely,85
matter,85
moving,85
near,85
studying,85
using,85
woke,85
happens,84
library,84
miss,84
prof,84
reading,84
wonder,84
anyone,83
girls,83
helpful,83
thursday,83
important,82
leg,82
living,82
photos,82
sit,82
surprised,82
agree,81
aint,81
along,80
annoying,80
computer,80
fibro,80
finished,80
gotten,80
worried,80
comes,79
laying,79
middle,79
party,79
semester,79
sleepy,79
apparently,78
book,78
code,78
photo,78
power,78
certain,77
forget,77
josh,77
couldnt,76
met,76
pull,76
short,76
worse,76
birthday,75
eating,75
exam,75
ton,75
usual,75
waiting,75
decided,74
guys,74
worked,74
afternoon,73
listening,73
lunch,73
alone,72
headache,72
hilarious,72
house,72
pants,72
somewhat,72
sunday,72
clothes,71
green,71
listen,71
normal,71
ridiculous,71
color,70
dog,70
grad,70
incredibly,70
knows,70
letter,70
slowly,70
text,70
wants,70
door,69
games,69
kisses,69
plenty,69
random,69
forward,68
mentioned,68
brilla,67
fact,67
forever,67
hug,67
isnt,67
lots,67
v,67
yikes,67
answer,66
hearing,66
passed,66
stuck,66
train,66
crawling,65
front,65
gone,65
prefer,65
ring,65
wanting,65
wrap,65
wrapping,65
easy,64
god,64
helps,64
others,64
pick,64
spent,64
stupid,64
trip,64
visit,64
whether,64
absolutely,63
ago,63
airport,63
cuddly,63
grumpy,63
minnesota,63
pain,63
step,63
straight,63
tuesday,63
brain,62
driving,62
dude,62
evening,62
lost,62
musical,62
obviously,62
options,62
shouldnt,62
shower,62
worth,62
across,61
cut,61
easier,61
fight,61
football,61
gentle,61
happening,61
learned,61
messages,61
monday,61
option,61
sweetheart,61
college,60
general,60
holding,60
hurt,60
kid,60
legs,60
must,60
screen,60
waking,60
believe,59
engaged,59
four,59
helping,59
hungry,59
jenny,59
laughing,59
medical,59
present,59
sharing,59
shes,59
taken,59
tickle,59
buy,58
cheek,58
language,58
sending,58
shoulder,58
spot,58
towards,58
wednesday,58
cooking,57
count,57
cream,57
dang,57
data,57
finally,57
join,57
letting,57
particular,57
particularly,57
pillow,57
plane,57
special,57
bringing,56
bus,56
christmas,56
difference,56
hate,56
incredible,56
leaning,56
light,56
likely,56
literally,56
minute,56
roll,56
safe,56
singing,56
social,56
student,56
teaching,56
awkward,55
band,55
busy,55
changed,55
continue,55
fully,55
points,55
quickly,55
bug,54
distance,54
eventually,54
expect,54
fly,54
respond,54
riehm,54
science,54
single,54
smiling,54
stick,54
thoughts,54
wise,54
attractive,53
coding,53
comment,53
expecting,53
frustrated,53
ice,53
isnt,53
moments,53
parking,53
physical,53
physically,53
showing,53
spoil,53
gift,52
given,52
joy,52
needs,52
outside,52
parts,52
playing,52
red,52
twice,52
attention,51
boy,51
concerned,51
exhausted,51
eye,51
joke,51
ohio,51
please,51
putting,51
roommate,51
become,50
card,50
facebook,50
hospital,50
nah,50
smell,50
songs,50
hehe,49
kitchen,49
lean,49
lose,49
luck,49
pass,49
practice,49
self,49
skype,49
solid,49
state,49
store,49
strong,49
actual,48
ahead,48
brought,48
desire,48
dumb,48
huge,48
nana,48
notice,48
quick,48
reasons,48
walked,48
available,47
behind,47
calendar,47
chicken,47
hes,47
human,47
pictures,47
pressure,47
productive,47
project,47
situation,47
slept,47
steal,47
students,47
team,47
touch,47
trust,47
writing,47
children,46
constantly,46
couldnt,46
decent,46
doctor,46
dress,46
etc,46
frustrating,46
ish,46
michigan,46
pizza,46
sappy,46
serious,46
shopping,46
tickling,46
volunteering,46
welcome,46
whats,46
worries,46
awake,45
church,45
example,45
feet,45
hang,45
keeping,45
professional,45
pulling,45
rock,45
rubbing,45
somehow,45
stomach,45
takes,45
truly,45
woo,45
workout,45
challenge,44
double,44
easily,44
generally,44
level,44
loving,44
multiple,44
paying,44
possibly,44
professor,44
resting,44
shirts,44
studio,44
thanksgiving,44
dancing,43
hadnt,43
humor,43
interested,43
named,43
natural,43
white,43
difficult,42
flights,42
grade,42
ill,42
likes,42
non,42
presence,42
remind,42
skin,42
smart,42
somewhere,42
specific,42
staying,42
support,42
turned,42
whoot,42
age,41
apologize,41
ate,41
bathroom,41
beat,41
effort,41
excuse,41
grocery,41
helped,41
hurting,41
image,41
lab,41
large,41
lower,41
save,41
speaking,41
anymore,40
awesome,40
blue,40
