word,count
i,29921
you,21257
to,18435
and,16894
the,15286
a,13045
that,10922
it,9555
is,8012
so,8010
of,7430
my,7312
in,6878
me,6069
just,5967
but,5829
for,5799
have,5748
like,5717
be,5615
was,5425
your,4596
are,4559
with,4485
not,4150
we,4125
am,3786
on,3694
would,3493
will,3483
as,3297
if,3182
also,3026
do,3014
know,2987
at,2972
love,2940
yeah,2923
one,2720
get,2620
can,2579
how,2558
this,2528
then,2510
what,2466
no,2434
when,2420
up,2385
well,2379
more,2315
really,2291
good,2174
about,2169
or,2055
haha,1986
all,1962
there,1952
time,1944
too,1912
think,1901
want,1852
out,1819
now,1719
they,1656
iâm,1641
much,1613
going,1589
see,1551
bc,1426
had,1384
from,1343
go,1332
very,1318
were,1253
make,1243
back,1224
,1215
feel,1202
could,1182
need,1159
day,1159
an,1136
did,1130
got,1124
okay,1122
them,1114
even,1109
being,1070
wow,1064
some,1052
might,1051
little,1044
she,1039
things,999
he,979
say,977
way,975
been,974
than,964
don't,950
dont,944
right,939
today,917
our,872
definitely,863
oh,860
itâs,860
sure,858
said,858
call,854
lot,849
before,843
video,835
because,832
here,828
bit,823
donât,821
still,816
thought,803
yes,802
something,794
other,783
over,771
thing,767
by,764
come,758
down,756
maybe,755
work,753
morning,751
better,741
never,740
hahaha,728
home,714
which,712
take,708
has,703
her,700
again,699
getting,694
glad,687
why,682
us,669
after,668
into,666
only,663
though,659
people,656
mean,653
first,653
doing,648
look,645
happy,626
hey,624
tell,623
off,622
around,622
great,612
talk,604
always,603
together,601
any,601
who,594
long,588
sleep,580
two,567
able,566
probably,561
thatâs,548
makes,543
try,540
point,539
pretty,536
kiss,534
ever,528
guess,525
actually,524
joseph,520
where,516
those,512
both,510
made,509
youâre,508
since,507
family,506
next,502
should,501
sorry,499
another,498
class,491
wait,486
give,481
feeling,478
every,477
talking,476
life,475
days,474
same,469
sounds,465
thank,464
cute,464
last,459
head,455
close,454
through,452
while,451
meghan,450
trying,449
pls,449
honestly,444
face,443
chat,442
TRUE,440
person,434
bed,428
week,426
wanted,423
night,422
already,412
let,411
weird,409
until,409
excited,409
many,406
anything,405
fun,404
bad,404
iâll,402
most,399
having,395
saying,392
part,392
making,392
didn't,392
it's,388
does,387
that's,385
gonna,383
less,382
each,381
yours,378
thinking,378
especially,378
find,377
hair,376
keep,370
hope,370
told,369
best,365
tho,364
went,363
mom,362
different,361
side,359
year,358
real,355
someone,354
hear,350
nice,346
wanna,342
him,342
done,341
few,340
help,339
game,336
show,334
i'm,331
its,328
may,327
soon,324
date,323
later,322
coming,321
cuddle,320
food,319
kinda,318
school,316
tonight,314
super,314
ð,312
quite,311
myself,311
times,309
end,308
start,305
looking,304
didnât,303
use,301
yet,300
canât,298
thanks,297
remember,297
seeing,296
didnt,296
whole,294
fair,293
enough,292
yay,289
put,288
wild,285
sense,285
hours,285
ended,285
rn,284
either,284
away,284
man,283
relationship,281
giving,280
new,279
can't,276
against,275
name,269
idea,262
mind,261
free,261
years,260
minutes,260
closer,260
mine,259
such,256
iâve,256
their,255
ones,254
moment,254
rest,252
once,251
cant,251
sweet,250
basically,249
eyes,245
tomorrow,242
nothing,242
left,242
sometimes,241
arms,241
leave,240
else,240
his,239
yep,238
watch,236
phone,236
hard,235
least,232
okie,230
friends,230
sound,229
hand,229
dad,229
ah,229
kids,228
ya,226
chicago,226
seen,225
saw,222
im,222
between,222
shirt,221
second,221
eat,220
body,220
message,219
emily,219
grateful,218
almost,217
dinner,216
break,216
ask,216
art,216
started,215
smile,215
room,215
place,215
share,214
interesting,213
sent,212
early,212
felt,211
working,210
without,210
idk,210
perfect,209
hour,209
everything,209
3,207
list,206
half,206
funny,206
2,206
kissing,205
picture,204
5,204
wouldn't,201
far,201
chloe,201
usually,200
thereâs,200
cause,200
course,197
problem,195
needed,195
hopefully,195
heart,195
big,194
looks,193
came,193
walk,192
called,192
happen,187
anyway,186
reason,185
weekend,183
wedding,181
fine,181
hahahaha,180
gotta,180
chest,180
goes,178
top,177
nose,177
dating,177
favorite,176
doesn't,176
heard,175
fingers,175
yo,174
whenever,174
huh,174
yesterday,173
taking,173
bring,173
used,172
under,172
yup,171
sad,171
watching,170
these,170
mass,170
knew,169
apartment,169
ð,169
parents,168
movie,168
florida,168
took,167
otherwise,167
move,167
stuff,166
running,165
wake,164
feels,164
asked,164
small,163
married,163
months,162
instead,162
worst,161
ways,161
understand,161
send,161
often,161
spicy,160
ready,160
fall,160
cool,160
tired,159
future,159
couple,159
beautiful,159
stop,158
asleep,158
4,158
worry,157
missed,157
hoping,157
meant,156
looked,156
neck,155
imma,155
earlier,155
old,154
month,154
girlfriend,154
stay,153
play,153
walking,152
goose,152
girl,152
found,152
10,152
realized,151
past,151
nap,151
cuddling,151
amazing,151
tried,150
talked,150
nope,150
conversation,150
appreciate,150
starting,149
nd,149
three,148
open,148
wish,147
gets,147
i'll,146
change,146
own,145
wrong,144
words,144
means,144
guy,143
comfortable,143
run,142
mmmm,142
meet,142
hold,142
telling,141
song,141
laugh,141
hit,141
figure,141
exactly,141
care,141
calling,141
wasn't,140
supposed,140
sort,140
everyone,140
works,139
set,138
forgot,138
proud,137
amount,137
crazy,136
you're,135
youâll,135
terrible,135
andrew,135
type,134
number,134
live,134
baby,134
add,134
8,134
longer,133
late,133
cold,133
kind,132
deal,132
yourself,131
line,131
word,130
forehead,130
enjoy,130
eh,130
oooo,129
wont,128
spend,128
campus,128
won't,127
wonderful,127
lay,127
friend,127
flight,127
possible,126
haven't,126
wear,125
vision,125
meeting,125
group,125
