timestamp,high,low,humidity,pressure
1575619200,77.23,59.24,0.72,1021.6
1575705600,78.74,63.91,0.72,1021.0
1575792000,79.01,64.15,0.75,1021.0
1575878400,81.52,73.95,0.76,1020.1
